"AÑO","MES","CORREGIMIENTO/BARRIO","ZONA WIFI","DISPOSITIVOS SIN CLASIFICAR","SMARTPHONE","TABLET","PC"
"2.024","ENERO","TIERRA BOMBA","TIERRA BOMBA","9","18.352","2","507"
"2.024","FEBRERO","TIERRA BOMBA","TIERRA BOMBA","13","21.359","2","559"
"2.024","MARZO","TIERRA BOMBA","TIERRA BOMBA","0","0","0","0"
"2.024","ENERO","TIERRA BOMBA","TIERRA BOMBA","0","0","0","0"
"2.024","FEBRERO","TIERRA BOMBA","TIERRA BOMBA","0","2","0","4"
"2.024","MARZO","TIERRA BOMBA","TIERRA BOMBA","0","1.439","0","61"
"2.024","ABRIL","TIERRA BOMBA","TIERRA BOMBA","1","2.145","0","56"
"2.024","MAYO","TIERRA BOMBA","TIERRA BOMBA","1","2.143","0","59"
"2.024","JUNIO","TIERRA BOMBA","TIERRA BOMBA","1","1.918","0","67"
"2.024","JULIO","TIERRA BOMBA","TIERRA BOMBA","0","2.478","1","63"
"2.024","AGOSTO","TIERRA BOMBA","TIERRA BOMBA","0","2.65","1","70"
"2.024","SEPTIEMBRE","TIERRA BOMBA","TIERRA BOMBA","6","2.998","0","66"
"2.024","OCTUBRE","TIERRA BOMBA","TIERRA BOMBA","0","2.579","0","61"
"2.024","NOVIEMBRE","TIERRA BOMBA","TIERRA BOMBA","4","3.007","0","52"
"2.024","DICIEMBRE","TIERRA BOMBA","TIERRA BOMBA","34","3.479","0","77"
"2.025","ENERO","TIERRA BOMBA","TIERRA BOMBA","2","24.427","0","38"
"2.025","FEBRERO","TIERRA BOMBA","TIERRA BOMBA","0","0","0","0"
"2.025","MARZO","TIERRA BOMBA","TIERRA BOMBA","0","0","0","0"
"2.025","MAYO","TIERRA BOMBA","TIERRA BOMBA","0","0","0","0"
"2.025","JUNIO","TIERRA BOMBA","TIERRA BOMBA","0","98","0","0"
"2.024","ENERO","TERNERA","INSPECCION DE POLICIA DE TERNERA","0","1.777","0","5"
"2.024","FEBRERO","TERNERA","INSPECCION DE POLICIA DE TERNERA","1","3.029","0","2"
"2.024","MARZO","TERNERA","INSPECCION DE POLICIA DE TERNERA","0","3.08","0","10"
"2.024","ABRIL","TERNERA","INSPECCION DE POLICIA DE TERNERA","1","3.153","0","6"
"2.024","MAYO","TERNERA","INSPECCION DE POLICIA DE TERNERA","0","4.228","0","2"
"2.024","JUNIO","TERNERA","INSPECCION DE POLICIA DE TERNERA","0","4.187","0","2"
