AÑO,MES,CORREGIMIENTO/BARRIO,ZONA WIFI,DISPOSITIVOS SIN CLASIFICAR,SMARTPHONE,TABLET,PC
2024,1,Tierra Bomba,tierra bomba,9,18352,2,507
2024,2,Tierra Bomba,tierra bomba,13,21359,2,559
2024,7,Boca Grande,inspeccion de policia de bocagrande,8,1325,5,27
2024,12,Boca Grande,inspeccion de policia de bocagrande,2,402,1,15
2025,1,Boca Grande,inspeccion de policia de bocagrande,78,2853,2,4
2024,1,Blas de Lezo,inspeccion de policia blas de lezo,1,4175,5,23
2024,8,Blas de Lezo,inspeccion de policia blas de lezo,2,377,4,25
2024,9,Blas de Lezo,inspeccion de policia blas de lezo,1,2688,8,45
2025,1,Blas de Lezo,inspeccion de policia blas de lezo,1,3468,2,32
2025,6,Blas de Lezo,inspeccion de policia blas de lezo,8,2653,3,39
2025,5,Bicentenario,biblioteca bicentenario,1,826,2,19
2024,7,Bayunca,biblioteca distrital bayunca,1,957,2,10
2024,9,Bayunca,biblioteca distrital bayunca,2,1375,1,2
2024,11,Bayunca,biblioteca distrital bayunca,3,1592,12,7
2025,1,Bayunca,biblioteca distrital bayunca,55,261,9,4
2025,2,baru,inspeccion de policia baru,4,341,1,26
2025,4,baru,tierra bomba,2,3147,7,16
2025,6,baru,inspeccion de policia baru,5,2617,4,37
2025,5,Arroyo Grande,inspeccion de policia arroyo grande,2,769,1,35
2024,12,Arroyo de Piedra,inspeccion de policia arroyo de piedra,4,1439,12,67
2025,2,Arroyo de Piedra,inspeccion de policia arroyo de piedra,1,2697,1,28
2025,3,Arroyo de Piedra,inspeccion de policia arroyo de piedra,25,2217,1,6
2025,6,Arroyo de Piedra,inspeccion de policia arroyo de piedra,5,1641,15,2
2025,7,La Boquilla,biblioteca boquilla,4,634,1,57
2025,7,Bayunca,biblioteca distrital bayunca,1,2538,13,41
2025,7,Pontezuela,biblioteca pontezuela,1,677,4,34
2025,7,Arroyo Grande,inspeccion de policia arroyo grande,2,3022,6,15
2025,7,baru,inspeccion de policia baru,2,1114,3,40
2025,7,Ciudadela 2000,inspeccion de policia ciudadela 2000,1,2749,6,53
2025,7,Pontezuela,inspeccion de policia pontezuela,21,2585,1,11
2025,7,Santa Ana,inspeccion de policia santa ana,11,2267,4,4
